preset,config,spacing,lenKm,actualLen_m,distinct@250,cov@250,revisit,time_min
Shibuya,current,850,6,6099,936,1.000,0.004,78.2
Shibuya,500@same,500,6,6051,772,0.990,0.099,77.6
Shibuya,500@10km,500,10,10250,1351,1.000,0.058,131.4
Okubo,current,1100,20,20189,3468,0.638,0.066,258.8
Okubo,500@same,500,20,20459,2831,0.712,0.101,262.3
Okubo,500@10km,500,10,10072,1773,0.652,0.020,129.1
Roppongi,current,1200,20,20707,2621,0.440,0.004,265.5
Roppongi,500@same,500,20,20168,2214,0.970,0.019,258.6
Roppongi,500@10km,500,10,10389,1336,0.966,0.000,133.2
Azabudai,current,1100,20,22450,2906,0.632,0.028,287.8
Azabudai,500@same,500,20,20383,2021,0.975,0.110,261.3
Azabudai,500@10km,500,10,10142,1165,0.925,0.067,130.0
Chuo-ku,current,850,12,12234,1346,0.808,0.110,156.9
Chuo-ku,500@same,500,12,13140,1199,0.868,0.150,168.5
Chuo-ku,500@10km,500,10,10430,1153,0.851,0.041,133.7
OsakaMinami,current,1000,20,20232,2400,0.616,0.000,259.4
OsakaMinami,500@same,500,20,20081,2052,0.969,0.040,257.4
OsakaMinami,500@10km,500,10,10500,1241,0.959,0.017,134.6
Xinyi,current,800,10,10097,1088,0.790,0.022,129.4
Xinyi,500@same,500,10,10268,1099,0.995,0.002,131.6
Xinyi,500@10km,500,10,10268,1099,0.995,0.002,131.6
# Seoul fetch attempt 1 failed: Overpass fetch failed after retry: Overpass HTTP 429
Seoul,current,850,12,12087,1522,0.818,0.091,155.0
Seoul,500@same,500,12,12481,1886,0.989,0.004,160.0
Seoul,500@10km,500,10,10129,1397,0.991,0.005,129.9
